"","year","early","election_day","mail","total","pct_early","pct_election_day","pct_mail"
"1",2018,659669,1482029,162814,2304512,28.6251058792491,64.3098842618307,7.06500985892024
"2",2020,983985,437126,1502986,3037030,32.3995811697612,14.3932065208444,49.4886780835224
"3",2022,378551,1037176,338748,1754475,21.5763120021659,59.116031861383,19.3076561364511
